    94  0.1666015E+02  0.1469983E+02  0.2939923E+01
    95  0.1666014E+02  0.1862003E+02  0.2939930E+01
    96  0.1861992E+02  0.9802733E+00  0.2940054E+01
    97  0.1862016E+02  0.4900033E+01  0.2939783E+01
    98  0.1861993E+02  0.8819842E+01  0.2940039E+01
    99  0.1862009E+02  0.1273990E+02  0.2939908E+01
   100  0.1862008E+02  0.1666007E+02  0.2939909E+01
   101  0.9799992E+00  0.9799999E+00  0.4899980E+01
   102  0.9800000E+00  0.4900000E+01  0.4899979E+01
   103  0.9800009E+00  0.8820000E+01  0.4899981E+01
   104  0.9800002E+00  0.1274000E+02  0.4899980E+01
   105  0.9800001E+00  0.1666000E+02  0.4899981E+01
   106  0.2939999E+01  0.2940000E+01  0.4899980E+01
   107  0.2939999E+01  0.6860000E+01  0.4899981E+01
   108  0.2940000E+01  0.1078000E+02  0.4899979E+01
   109  0.2940000E+01  0.1470000E+02  0.4899979E+01
   110  0.2940001E+01  0.1862000E+02  0.4899980E+01
   111  0.4900000E+01  0.9799996E+00  0.4899979E+01
   112  0.4900000E+01  0.4900000E+01  0.4899981E+01
   113  0.4900000E+01  0.8820001E+01  0.4899981E+01
   114  0.4900000E+01  0.1274000E+02  0.4899981E+01
   115  0.4900000E+01  0.1666000E+02  0.4899979E+01
   116  0.6859999E+01  0.2940000E+01  0.4899981E+01
   117  0.6860001E+01  0.6860000E+01  0.4899980E+01
   118  0.6860000E+01  0.1078000E+02  0.4899979E+01
   119  0.6860000E+01  0.1470000E+02  0.4899981E+01
   120  0.6860000E+01  0.1862000E+02  0.4899980E+01
   121  0.8819999E+01  0.9799999E+00  0.4899980E+01
   122  0.8820000E+01  0.4900000E+01  0.4899981E+01
   123  0.8820000E+01  0.8819999E+01  0.4899981E+01
   124  0.8820000E+01  0.1274000E+02  0.4899979E+01
   125  0.8819999E+01  0.1666000E+02  0.4899981E+01
   126  0.1078000E+02  0.2939999E+01  0.4899981E+01
   127  0.1078000E+02  0.6860000E+01  0.4899981E+01
   128  0.1078000E+02  0.1078000E+02  0.4899981E+01
   129  0.1078000E+02  0.1470000E+02  0.4899980E+01
   130  0.1078000E+02  0.1862000E+02  0.4899980E+01
   131  0.1274000E+02  0.9800000E+00  0.4899979E+01
   132  0.1274000E+02  0.4900000E+01  0.4899981E+01
   133  0.1274000E+02  0.8819999E+01  0.4899981E+01
   134  0.1274000E+02  0.1274000E+02  0.4899979E+01
   135  0.1274000E+02  0.1666000E+02  0.4899979E+01
   136  0.1470000E+02  0.2940000E+01  0.4899979E+01
   137  0.1470000E+02  0.6860000E+01  0.4899981E+01
   138  0.1470000E+02  0.1078000E+02  0.4899981E+01
   139  0.1470000E+02  0.1470000E+02  0.4899981E+01
   140  0.1470000E+02  0.1862000E+02  0.4899980E+01
   141  0.1666000E+02  0.9800000E+00  0.4899979E+01
   142  0.1666000E+02  0.4900001E+01  0.4899980E+01
   143  0.1666000E+02  0.8820000E+01  0.4899981E+01
   144  0.1666000E+02  0.1274000E+02  0.4899979E+01
   145  0.1666000E+02  0.1666000E+02  0.4899981E+01
   146  0.1862000E+02  0.2940000E+01  0.4899980E+01
   147  0.1862000E+02  0.6860001E+01  0.4899979E+01
   148  0.1862000E+02  0.1078000E+02  0.4899981E+01
   149  0.1862000E+02  0.1470000E+02  0.4899981E+01
   150  0.1862000E+02  0.1862000E+02  0.4899981E+01
   151  0.9800000E+00  0.2940000E+01  0.6859975E+01
   152  0.9800008E+00  0.6860000E+01  0.6859973E+01
   153  0.9800007E+00  0.1078000E+02  0.6859975E+01
   154  0.9800003E+00  0.1470000E+02  0.6859975E+01
   155  0.9799998E+00  0.1862000E+02  0.6859973E+01
   156  0.2940001E+01  0.9799995E+00  0.6859974E+01
   157  0.2940000E+01  0.4899999E+01  0.6859973E+01
   158  0.2940001E+01  0.8820001E+01  0.6859973E+01
   159  0.2940000E+01  0.1274000E+02  0.6859973E+01
   160  0.2940000E+01  0.1666000E+02  0.6859973E+01
   161  0.4900000E+01  0.2940001E+01  0.6859974E+01
   162  0.4900001E+01  0.6859999E+01  0.6859974E+01
   163  0.4900000E+01  0.1078000E+02  0.6859974E+01
   164  0.4900000E+01  0.1470000E+02  0.6859973E+01
   165  0.4900000E+01  0.1862000E+02  0.6859975E+01
   166  0.6860000E+01  0.9799998E+00  0.6859973E+01
   167  0.6859999E+01  0.4899999E+01  0.6859974E+01
   168  0.6860001E+01  0.8820000E+01  0.6859973E+01
   169  0.6859999E+01  0.1274000E+02  0.6859974E+01
   170  0.6860000E+01  0.1666000E+02  0.6859973E+01
   171  0.8820000E+01  0.2940000E+01  0.6859973E+01
   172  0.8819999E+01  0.6860001E+01  0.6859974E+01
   173  0.8820001E+01  0.1078000E+02  0.6859974E+01
   174  0.8820000E+01  0.1470000E+02  0.6859974E+01
   175  0.8820000E+01  0.1862000E+02  0.6859975E+01
   176  0.1078000E+02  0.9800000E+00  0.6859973E+01
   177  0.1078000E+02  0.4900000E+01  0.6859974E+01
   178  0.1078000E+02  0.8820000E+01  0.6859973E+01
   179  0.1078000E+02  0.1274000E+02  0.6859975E+01
   180  0.1078000E+02  0.1666000E+02  0.6859973E+01
   181  0.1274000E+02  0.2940000E+01  0.6859975E+01
   182  0.1274000E+02  0.6859999E+01  0.6859974E+01
   183  0.1274000E+02  0.1078000E+02  0.6859974E+01
   184  0.1274000E+02  0.1470000E+02  0.6859975E+01
   185  0.1274000E+02  0.1862000E+02  0.6859974E+01
   186  0.1470000E+02  0.9799997E+00  0.6859974E+01
   187  0.1470000E+02  0.4900000E+01  0.6859974E+01
   188  0.1470000E+02  0.8820001E+01  0.6859973E+01
   189  0.1470000E+02  0.1274000E+02  0.6859973E+01
   190  0.1470000E+02  0.1666000E+02  0.6859975E+01
   191  0.1666000E+02  0.2940001E+01  0.6859975E+01
   192  0.1666000E+02  0.6859999E+01  0.6859974E+01
   193  0.1666000E+02  0.1078000E+02  0.6859973E+01
   194  0.1666000E+02  0.1470000E+02  0.6859973E+01
   195  0.1666000E+02  0.1862000E+02  0.6859973E+01
   196  0.1862000E+02  0.9799999E+00  0.6859973E+01
   197  0.1862000E+02  0.4900000E+01  0.6859975E+01
   198  0.1862000E+02  0.8820000E+01  0.6859973E+01
   199  0.1862000E+02  0.1274000E+02  0.6859975E+01
   200  0.1862000E+02  0.1666000E+02  0.6859974E+01
     1  0.9800000E+00  0.9800000E+00  0.9800000E+00
     2  0.9800000E+00  0.4900000E+01  0.9800000E+00
     3  0.9800000E+00  0.8820000E+01  0.9800000E+00
     4  0.9800000E+00  0.1274000E+02  0.9800000E+00
     5  0.9800000E+00  0.1666000E+02  0.9800000E+00
     6  0.2940000E+01  0.2940000E+01  0.9800000E+00
     7  0.2940000E+01  0.6860000E+01  0.9800000E+00
     8  0.2940000E+01  0.1078000E+02  0.9800000E+00
     9  0.2940000E+01  0.1470000E+02  0.9800000E+00
    10  0.2940000E+01  0.1862000E+02  0.9800000E+00
    11  0.4900000E+01  0.9800000E+00  0.9800000E+00
    12  0.4900000E+01  0.4900000E+01  0.9800000E+00
    13  0.4900000E+01  0.8820000E+01  0.9800000E+00
    14  0.4900000E+01  0.1274000E+02  0.9800000E+00
    15  0.4900000E+01  0.1666000E+02  0.9800000E+00
    16  0.6860000E+01  0.2940000E+01  0.9800000E+00
    17  0.6860000E+01  0.6860000E+01  0.9800000E+00
    18  0.6860000E+01  0.1078000E+02  0.9800000E+00
    19  0.6860000E+01  0.1470000E+02  0.9800000E+00
    20  0.6860000E+01  0.1862000E+02  0.9800000E+00
    21  0.8820000E+01  0.9800000E+00  0.9800000E+00
    22  0.8820000E+01  0.4900000E+01  0.9800000E+00
    23  0.8820000E+01  0.8820000E+01  0.9800000E+00
    24  0.8820000E+01  0.1274000E+02  0.9800000E+00
    25  0.8820000E+01  0.1666000E+02  0.9800000E+00
    26  0.1078000E+02  0.2940000E+01  0.9800000E+00
    27  0.1078000E+02  0.6860000E+01  0.9800000E+00
    28  0.1078000E+02  0.1078000E+02  0.9800000E+00
    29  0.1078000E+02  0.1470000E+02  0.9800000E+00
