   100  0.1332928E-01  0.1179989E+01  0.7703173E-02  0.1359521E-01
   200  0.2176641E-01  0.1410315E+03  0.7472861E+02  0.2484271E+03
   300  0.8600152E-02  0.1786342E+03  0.1171161E+03  0.1156951E+03
   400  0.2220527E-01  0.1299309E+03  0.7282538E+02  0.5001953E+02
   500  0.1155835E-01  0.1757700E+03  0.1597256E+03  0.2180750E+03
   600  0.8204103E-02  0.1685079E+03  0.1235268E+03  0.1493353E+03
   700  0.1713766E-01  0.1374461E+03  0.1055350E+03  0.8904283E+02
   800  0.7669332E-02  0.1669746E+03  0.1664652E+03  0.1544840E+03
   900  0.7434201E-02  0.1523858E+03  0.1521472E+03  0.1439024E+03
  1000  0.1426987E-01  0.1261937E+03  0.1290214E+03  0.1116235E+03
  1100  0.5371426E-02  0.1675224E+03  0.1686257E+03  0.1549783E+03
  1200  0.6344055E-02  0.1983013E+03  0.1152430E+03  0.1285589E+03
  1300  0.9123004E-02  0.1308555E+03  0.1352720E+03  0.9112098E+02
  1400  0.5661743E-02  0.1554118E+03  0.1833356E+03  0.1290844E+03
  1500  0.6048405E-02  0.1301042E+03  0.1590518E+03  0.1127841E+03
  1600  0.7793739E-02  0.1503409E+03  0.1347630E+03  0.1239060E+03
  1700  0.5345591E-02  0.1506430E+03  0.1412720E+03  0.1311693E+03
  1800  0.4813306E-02  0.1495762E+03  0.1445460E+03  0.1194006E+03
  1900  0.6837124E-02  0.1385244E+03  0.1366709E+03  0.1084448E+03
  2000  0.5382181E-02  0.1770101E+03  0.1768752E+03  0.1390012E+03
  2100  0.6046322E-02  0.1385536E+03  0.1265778E+03  0.1464060E+03
  2200  0.8193221E-02  0.1513834E+03  0.1384202E+03  0.1619122E+03
  2300  0.8861856E-02  0.1578594E+03  0.1591936E+03  0.1392893E+03
  2400  0.5840689E-02  0.1508772E+03  0.1337556E+03  0.1063143E+03
  2500  0.6362931E-02  0.1592559E+03  0.1099951E+03  0.1208533E+03
  2600  0.7335870E-02  0.1471568E+03  0.1419620E+03  0.1096599E+03
  2700  0.6588595E-02  0.1723657E+03  0.1556010E+03  0.1171646E+03
  2800  0.4861545E-02  0.1287510E+03  0.1605238E+03  0.1285060E+03
  2900  0.5071234E-02  0.1389815E+03  0.1599375E+03  0.1325187E+03
  3000  0.5449843E-02  0.1391038E+03  0.1348024E+03  0.1001946E+03
  3100  0.5568367E-02  0.1572224E+03  0.1451781E+03  0.1259641E+03
  3200  0.4715815E-02  0.1252833E+03  0.1577076E+03  0.1380516E+03
  3300  0.5122116E-02  0.1399272E+03  0.1643659E+03  0.1402533E+03
  3400  0.5812093E-02  0.1867085E+03  0.1526355E+03  0.1273438E+03
  3500  0.5796881E-02  0.1469773E+03  0.1441723E+03  0.1186508E+03
  3600  0.4734090E-02  0.1509631E+03  0.1609305E+03  0.1050920E+03
  3700  0.5050606E-02  0.1704119E+03  0.1543590E+03  0.1060498E+03
  3800  0.6285480E-02  0.1520597E+03  0.1305933E+03  0.1149039E+03
  3900  0.6170177E-02  0.1553037E+03  0.1410628E+03  0.1525984E+03
  4000  0.5853049E-02  0.1368663E+03  0.1653847E+03  0.1181309E+03
  4100  0.5752926E-02  0.1711249E+03  0.1344685E+03  0.1214517E+03
  4200  0.6587989E-02  0.1257109E+03  0.1654690E+03  0.1413851E+03
  4300  0.5146088E-02  0.1516712E+03  0.1725410E+03  0.1411944E+03
  4400  0.5633495E-02  0.2236091E+03  0.1541888E+03  0.1335195E+03
  4500  0.4697968E-02  0.1729716E+03  0.1518608E+03  0.1494140E+03
  4600  0.4776664E-02  0.1570533E+03  0.1375319E+03  0.1343794E+03
  4700  0.6005362E-02  0.1658058E+03  0.1471737E+03  0.1391024E+03
  4800  0.5096956E-02  0.1214591E+03  0.1551780E+03  0.1459977E+03
  4900  0.4740403E-02  0.1438324E+03  0.1579736E+03  0.1239517E+03
  5000  0.6791338E-02  0.1548985E+03  0.1535385E+03  0.1255276E+03
  5100  0.6031477E-02  0.1434922E+03  0.1379682E+03  0.1158607E+03
  5200  0.5388007E-02  0.1418200E+03  0.1407571E+03  0.1280236E+03
  5300  0.5501927E-02  0.1507094E+03  0.1207085E+03  0.1448753E+03
