   100 -0.2074250E-17 -0.2074250E-17  0.3409976E-24
   200 -0.1113820E-17 -0.2095191E-17  0.9813711E-18
   300 -0.1298530E-17 -0.2278646E-17  0.9801162E-18
   400 -0.1210384E-17 -0.2186335E-17  0.9759511E-18
   500 -0.1227397E-17 -0.2207650E-17  0.9802531E-18
   600 -0.1237044E-17 -0.2214612E-17  0.9775674E-18
   700 -0.1174569E-17 -0.2151575E-17  0.9770057E-18
   800 -0.8509043E-18 -0.1832638E-17  0.9817338E-18
   900 -0.8718883E-18 -0.1845130E-17  0.9732420E-18
  1000 -0.1025418E-17 -0.2008424E-17  0.9830060E-18
  1100 -0.1107486E-17 -0.2086385E-17  0.9788999E-18
  1200 -0.1156629E-17 -0.2136734E-17  0.9801053E-18
  1300 -0.1204549E-17 -0.2182301E-17  0.9777520E-18
  1400 -0.1167418E-17 -0.2145033E-17  0.9776150E-18
  1500 -0.1048266E-17 -0.2025361E-17  0.9770950E-18
  1600 -0.1060796E-17 -0.2040385E-17  0.9795882E-18
  1700 -0.1094480E-17 -0.2072670E-17  0.9781895E-18
  1800 -0.9509856E-18 -0.1924071E-17  0.9730858E-18
  1900 -0.7479893E-18 -0.1729577E-17  0.9815878E-18
  2000 -0.9041148E-18 -0.1886320E-17  0.9822056E-18
  2100 -0.9345859E-18 -0.1914056E-17  0.9794700E-18
  2200 -0.9994090E-18 -0.1979105E-17  0.9796957E-18
  2300 -0.1081064E-17 -0.2059003E-17  0.9779387E-18
  2400 -0.9374568E-18 -0.1917589E-17  0.9801318E-18
  2500 -0.9923365E-18 -0.1969541E-17  0.9772041E-18
  2600 -0.9023710E-18 -0.1879687E-17  0.9773156E-18
  2700 -0.8639657E-18 -0.1847173E-17  0.9832068E-18
  2800 -0.1081278E-17 -0.2060615E-17  0.9793374E-18
  2900 -0.1087196E-17 -0.2064542E-17  0.9773463E-18
  3000 -0.1049899E-17 -0.2028013E-17  0.9781133E-18
  3100 -0.1051502E-17 -0.2029820E-17  0.9783182E-18
  3200 -0.1017319E-17 -0.1995166E-17  0.9778475E-18
  3300 -0.9825664E-18 -0.1960508E-17  0.9779412E-18
  3400 -0.1007336E-17 -0.1987612E-17  0.9802764E-18
  3500 -0.1039508E-17 -0.2017295E-17  0.9777863E-18
  3600 -0.1039931E-17 -0.2019042E-17  0.9791104E-18
  3700 -0.1084226E-17 -0.2062854E-17  0.9786283E-18
  3800 -0.1022698E-17 -0.2001363E-17  0.9786650E-18
  3900 -0.1031332E-17 -0.2009214E-17  0.9778819E-18
  4000 -0.1012884E-17 -0.1989768E-17  0.9768837E-18
  4100 -0.9786450E-18 -0.1956197E-17  0.9775519E-18
  4200 -0.9425598E-18 -0.1922206E-17  0.9796459E-18
  4300 -0.1005755E-17 -0.1984287E-17  0.9785314E-18
  4400 -0.9859497E-18 -0.1964931E-17  0.9789809E-18
  4500 -0.9616784E-18 -0.1939516E-17  0.9778373E-18
  4600 -0.9839091E-18 -0.1963336E-17  0.9794271E-18
  4700 -0.9659913E-18 -0.1943896E-17  0.9779050E-18
  4800 -0.9949185E-18 -0.1974812E-17  0.9798938E-18
  4900 -0.9967032E-18 -0.1974640E-17  0.9779369E-18
  5000 -0.9631223E-18 -0.1941171E-17  0.9780485E-18
  5100 -0.9557370E-18 -0.1934860E-17  0.9791230E-18
  5200 -0.9549705E-18 -0.1862237E-17  0.9072663E-18
  5300 -0.9524552E-18 -0.1882138E-17  0.9296831E-18
  5400 -0.9524372E-18 -0.1892230E-17  0.9397924E-18
  5500 -0.9514283E-18 -0.1878439E-17  0.9270107E-18
  5600 -0.9535327E-18 -0.1886966E-17  0.9334329E-18
  5700 -0.9564362E-18 -0.1848170E-17  0.8917338E-18
  5800 -0.9550038E-18 -0.1857469E-17  0.9024651E-18
  5900 -0.9523225E-18 -0.1864755E-17  0.9124324E-18
  6000 -0.9538808E-18 -0.1853063E-17  0.8991820E-18
  6100 -0.9547049E-18 -0.1836362E-17  0.8816574E-18
  6200 -0.9549972E-18 -0.1803530E-17  0.8485326E-18
  6300 -0.9537531E-18 -0.1806900E-17  0.8531470E-18
  6400 -0.9518816E-18 -0.1782954E-17  0.8310726E-18
  6500 -0.9503318E-18 -0.1815017E-17  0.8646850E-18
  6600 -0.9497028E-18 -0.1813040E-17  0.8633375E-18
  6700 -0.9492564E-18 -0.1782520E-17  0.8332632E-18
  6800 -0.9417338E-18 -0.1784161E-17  0.8424275E-18
  6900 -0.9401146E-18 -0.1775092E-17  0.8349772E-18
  7000 -0.9379964E-18 -0.1750624E-17  0.8126277E-18
  7100 -0.9385361E-18 -0.1766500E-17  0.8279641E-18
  7200 -0.9399635E-18 -0.1750195E-17  0.8102320E-18
  7300 -0.9377380E-18 -0.1768037E-17  0.8302990E-18
  7400 -0.9365807E-18 -0.1764105E-17  0.8275241E-18
  7500 -0.9353371E-18 -0.1758687E-17  0.8233499E-18
  7600 -0.9362723E-18 -0.1783194E-17  0.8469217E-18
  7700 -0.9383201E-18 -0.1798639E-17  0.8603193E-18
  7800 -0.9385008E-18 -0.1758358E-17  0.8198577E-18
  7900 -0.9388798E-18 -0.1737575E-17  0.7986948E-18
  8000 -0.9342877E-18 -0.1743676E-17  0.8093881E-18
  8100 -0.9327920E-18 -0.1757130E-17  0.8243375E-18
  8200 -0.9309877E-18 -0.1784364E-17  0.8533763E-18
  8300 -0.9335646E-18 -0.1783610E-17  0.8500454E-18
  8400 -0.9347619E-18 -0.1758582E-17  0.8238204E-18
  8500 -0.9341743E-18 -0.1774586E-17  0.8404119E-18
