   100 -0.1088716E-15 -0.1088720E-15  0.4590763E-21
   200 -0.1088072E-15 -0.1092214E-15  0.4141297E-18
   300 -0.1090222E-15 -0.1093472E-15  0.3250238E-18
   400 -0.1090578E-15 -0.1091643E-15  0.1064297E-18
   500 -0.1090166E-15 -0.1093552E-15  0.3385920E-18
   600 -0.1090312E-15 -0.1092446E-15  0.2134068E-18
   700 -0.1090495E-15 -0.1091682E-15  0.1187059E-18
   800 -0.1090580E-15 -0.1093133E-15  0.2552936E-18
   900 -0.1091487E-15 -0.1093334E-15  0.1846334E-18
  1000 -0.1091445E-15 -0.1092951E-15  0.1505896E-18
  1100 -0.1091155E-15 -0.1093479E-15  0.2324478E-18
  1200 -0.1091352E-15 -0.1092801E-15  0.1448943E-18
  1300 -0.1091359E-15 -0.1092631E-15  0.1271241E-18
  1400 -0.1091372E-15 -0.1093204E-15  0.1832155E-18
  1500 -0.1091781E-15 -0.1093281E-15  0.1499531E-18
  1600 -0.1091766E-15 -0.1093347E-15  0.1581530E-18
  1700 -0.1091706E-15 -0.1093329E-15  0.1622834E-18
  1800 -0.1091586E-15 -0.1093062E-15  0.1475906E-18
  1900 -0.1091541E-15 -0.1092766E-15  0.1224817E-18
  2000 -0.1091588E-15 -0.1093223E-15  0.1634916E-18
  2100 -0.1091678E-15 -0.1093183E-15  0.1505602E-18
  2200 -0.1092010E-15 -0.1093359E-15  0.1348958E-18
  2300 -0.1091596E-15 -0.1093189E-15  0.1592474E-18
  2400 -0.1091451E-15 -0.1092886E-15  0.1434862E-18
  2500 -0.1091730E-15 -0.1093229E-15  0.1498778E-18
  2600 -0.1091614E-15 -0.1093078E-15  0.1464566E-18
  2700 -0.1091958E-15 -0.1093387E-15  0.1428067E-18
  2800 -0.1091816E-15 -0.1093295E-15  0.1478389E-18
  2900 -0.1092039E-15 -0.1093453E-15  0.1413965E-18
  3000 -0.1091746E-15 -0.1093020E-15  0.1274774E-18
  3100 -0.1091849E-15 -0.1093151E-15  0.1302568E-18
  3200 -0.1091825E-15 -0.1093267E-15  0.1442187E-18
  3300 -0.1091883E-15 -0.1093319E-15  0.1436195E-18
  3400 -0.1091786E-15 -0.1093211E-15  0.1425003E-18
  3500 -0.1091545E-15 -0.1092973E-15  0.1427219E-18
  3600 -0.1091569E-15 -0.1093084E-15  0.1514140E-18
  3700 -0.1091688E-15 -0.1093181E-15  0.1493041E-18
  3800 -0.1091773E-15 -0.1093277E-15  0.1503688E-18
  3900 -0.1091749E-15 -0.1093209E-15  0.1460030E-18
  4000 -0.1091839E-15 -0.1093321E-15  0.1482441E-18
  4100 -0.1091675E-15 -0.1093125E-15  0.1449462E-18
  4200 -0.1091638E-15 -0.1093067E-15  0.1428694E-18
  4300 -0.1091833E-15 -0.1093323E-15  0.1489970E-18
  4400 -0.1091782E-15 -0.1093251E-15  0.1469070E-18
  4500 -0.1091781E-15 -0.1093286E-15  0.1505124E-18
  4600 -0.1091711E-15 -0.1093195E-15  0.1483766E-18
  4700 -0.1091579E-15 -0.1093058E-15  0.1478623E-18
  4800 -0.1091784E-15 -0.1093190E-15  0.1405583E-18
  4900 -0.1091750E-15 -0.1093223E-15  0.1473563E-18
  5000 -0.1091801E-15 -0.1093285E-15  0.1483970E-18
  5100 -0.1091909E-15 -0.1093362E-15  0.1453173E-18
  5200 -0.1091740E-15 -0.1093280E-15  0.1540170E-18
  5300 -0.1091746E-15 -0.1093220E-15  0.1473733E-18
  5400 -0.1091846E-15 -0.1093231E-15  0.1385118E-18
  5500 -0.1091688E-15 -0.1093221E-15  0.1532986E-18
  5600 -0.1091743E-15 -0.1093227E-15  0.1483155E-18
  5700 -0.1091664E-15 -0.1093219E-15  0.1555434E-18
  5800 -0.1091604E-15 -0.1093163E-15  0.1559370E-18
  5900 -0.1091563E-15 -0.1093113E-15  0.1549558E-18
  6000 -0.1091785E-15 -0.1093333E-15  0.1547815E-18
  6100 -0.1091775E-15 -0.1093287E-15  0.1512432E-18
  6200 -0.1091651E-15 -0.1093271E-15  0.1619752E-18
  6300 -0.1091767E-15 -0.1093230E-15  0.1462176E-18
  6400 -0.1091525E-15 -0.1093086E-15  0.1560158E-18
  6500 -0.1091825E-15 -0.1093288E-15  0.1462908E-18
  6600 -0.1091718E-15 -0.1093211E-15  0.1493010E-18
  6700 -0.1091940E-15 -0.1093217E-15  0.1276413E-18
  6800 -0.1091804E-15 -0.1093386E-15  0.1581811E-18
  6900 -0.1091912E-15 -0.1093294E-15  0.1381461E-18
  7000 -0.1091745E-15 -0.1093247E-15  0.1502391E-18
  7100 -0.1091733E-15 -0.1093199E-15  0.1466608E-18
  7200 -0.1091923E-15 -0.1093374E-15  0.1451168E-18
  7300 -0.1091862E-15 -0.1093302E-15  0.1439934E-18
  7400 -0.1091879E-15 -0.1093327E-15  0.1447668E-18
  7500 -0.1091765E-15 -0.1093240E-15  0.1475125E-18
  7600 -0.1091697E-15 -0.1093045E-15  0.1347704E-18
  7700 -0.1091793E-15 -0.1093212E-15  0.1419268E-18
  7800 -0.1091876E-15 -0.1093256E-15  0.1379142E-18
  7900 -0.1091928E-15 -0.1093428E-15  0.1499881E-18
